Time(s),Flow(m3/s)
0.0,0.3268168866634369
3600.0,1.2442529201507568
7200.0,2.724257469177246
10800.0,4.740109920501709
14400.0,7.26636266708374
18000.0,10.278776168823242
21600.0,14.278373718261719
25200.0,25.462121963500977
28800.0,49.06682586669922
32400.0,82.19402313232422
36000.0,111.06395721435547
39600.0,123.15312194824219
43200.0,119.13140106201172
46800.0,108.20747375488281
50400.0,98.6302261352539
54000.0,89.7686996459961
57600.0,81.96430206298828
61200.0,74.65452575683594
64800.0,67.69961547851562
68400.0,61.26747512817383
72000.0,55.54057693481445
75600.0,50.563045501708984
79200.0,46.21046829223633
82800.0,42.27459716796875
86400.0,38.70499038696289
