Time(s),Flow(m3/s)
0.0,0.2566942572593689
3600.0,0.2566942572593689
7200.0,0.2566942572593689
10800.0,0.2566942572593689
14400.0,0.2566942572593689
18000.0,0.2566942572593689
21600.0,0.7460142970085144
25200.0,1.9197288751602173
28800.0,4.821847438812256
32400.0,15.035565376281738
36000.0,39.67628860473633
39600.0,61.43666458129883
43200.0,72.5474853515625
46800.0,73.85223388671875
50400.0,68.63584899902344
54000.0,60.08977127075195
57600.0,50.541542053222656
61200.0,41.416664123535156
64800.0,33.44123077392578
68400.0,26.87619400024414
72000.0,21.709300994873047
75600.0,17.790016174316406
79200.0,14.91477108001709
82800.0,12.87570858001709
86400.0,11.48515510559082
