cell_id,max_depth
1,0.414199829101563
7417,0.404312133789063
8475,0.059036254882813
8494,0.0823974609375
8553,0.054107666015625
8583,0.387527465820313
8584,0.130874633789063
8587,0.1942138671875
8588,0.260879516601563
8590,0.254241943359375
8591,0.334213256835938
8593,0.084213256835938
8594,0.090805053710938
8595,0.104324340820313
8597,0.067550659179688
8603,0.254196166992188
8604,0.144195556640625
8605,0.167526245117188
8606,0.21759033203125
8607,0.230911254882813
8608,0.224212646484375
8609,0.150909423828125
8610,0.237564086914063
8611,0.184173583984375
8621,0.297592163085938
8623,0.16424560546875
8624,0.054183959960938
8625,0.290863037109375
8626,0.130905151367188
8627,0.364181518554688
8628,0.2808837890625
8629,0.280868530273438
8630,0.430831909179688
8631,0.367538452148438
8632,0.240875244140625
8634,0.254196166992188
8635,0.274200439453125
8636,0.23089599609375
8637,0.32421875
8638,0.310867309570313
8639,0.387557983398438
8640,0.4342041015625
8641,0.344223022460938
8642,0.354202270507813
8643,0.447555541992188
8644,0.404205322265625
8645,0.434188842773438
8646,0.464187622070313
8647,0.3775634765625
8648,0.334182739257813
8649,0.400833129882813
8650,0.337509155273438
8651,0.440841674804688
8652,0.337554931640625
8653,0.387496948242188
8654,0.374191284179688
8655,0.337478637695313
8656,0.354171752929688
8657,0.300857543945313
8658,0.370849609375
8659,0.35418701171875
8660,0.414199829101563
8661,0.314178466796875
8662,0.350845336914063
8664,0.437774658203125
8940,0.168685913085938
8952,0.151779174804688
8958,0.288726806640625
8959,0.2318115234375
8960,0.341873168945313
8961,0.183929443359375
8962,0.272506713867188
8963,0.275421142578125
8964,0.338790893554688
8966,0.275650024414063
8967,0.378311157226563
8968,0.322280883789063
8969,0.332595825195313
8970,0.144927978515625
8971,0.208023071289063
8972,0.225616455078125
8973,0.231826782226563
8974,0.27874755859375
8975,0.154556274414063
8977,0.542327880859375
8978,0.477615356445313
9050,0.587814331054688
9054,0.05523681640625
9055,0.111846923828125
9057,0.230117797851563
9058,0.223251342773438
9088,0.286376953125
9096,0.562179565429688
9097,0.252883911132813
9099,0.312728881835938
9100,0.312896728515625
9101,0.313018798828125
9102,0.315887451171875
9104,0.306228637695313
9105,0.28936767578125
9106,0.296234130859375
9107,0.312957763671875
9108,0.638153076171875
9109,0.252227783203125
9110,0.405059814453125
9111,0.29541015625
9112,0.377883911132813
9113,0.461212158203125
9114,0.534912109375
9115,0.539016723632813
9116,0.419342041015625
9117,0.326568603515625
9118,0.435638427734375
9119,0.27325439453125
9120,0.329605102539063
9121,0.2796630859375
9122,0.292984008789063
9123,0.329513549804688
9124,0.372756958007813
9125,0.326263427734375
9126,0.621902465820313
9127,0.478408813476563
9128,0.5684814453125
9129,0.64202880859375
9130,0.465744018554688
9131,0.53179931640625
9132,0.135650634765625
9133,0.578811645507813
9135,0.509536743164063
9136,0.367294311523438
9148,0.287673950195313
9150,0.054351806640625
9152,0.32232666015625
9154,0.294967651367188
9155,0.230972290039063
9157,0.4510498046875
9158,0.4764404296875
9159,0.054733276367188
9160,0.350173950195313
9162,0.426300048828125
9163,0.426559448242188
9164,0.450149536132813
9165,0.393310546875
9166,0.513442993164063
9167,0.52716064453125
9168,0.115036010742188
9169,0.400863647460938
9170,0.527328491210938
9171,0.230743408203125
9172,0.483261108398438
9173,0.509658813476563
9175,0.339935302734375
9176,0.369369506835938
9178,0.128494262695313
9179,0.128204345703125
9180,0.199432373046875
9181,0.319442749023438
9182,0.350372314453125
9183,0.208938598632813
9185,0.057281494140625
9186,0.201141357421875
9187,0.095077514648438
9188,0.248504638671875
9189,0.245346069335938
9190,0.141082763671875
9191,0.221969604492188
9192,0.050338745117188
9193,0.103485107421875
9195,0.308364868164063
9196,0.1363525390625
9197,0.172897338867188
9199,0.155029296875
9202,0.464996337890625
9203,0.318252563476563
9204,0.050430297851563
9208,0.1434326171875
9210,0.457183837890625
9211,0.521621704101563
9212,0.517181396484375
9213,0.5281982421875
9214,0.48333740234375
9215,0.54827880859375
9216,0.534591674804688
9217,0.605133056640625
9218,0.508468627929688
9219,0.604766845703125
9220,0.531631469726563
9221,0.55841064453125
9222,0.527633666992188
9223,0.561691284179688
9224,0.496536254882813
9225,0.517623901367188
9226,0.493087768554688
9227,0.487548828125
9228,0.507308959960938
9229,0.480377197265625
