Time(s),Flow(m3/s)
0.0,0.4858072102069855
3600.0,0.4858072102069855
7200.0,0.4858072102069855
10800.0,0.4858072102069855
14400.0,0.4858072102069855
18000.0,0.4858072102069855
21600.0,0.4858072102069855
25200.0,0.4858072102069855
28800.0,0.4858072102069855
32400.0,0.4858072102069855
36000.0,1.3853309154510498
39600.0,2.6930763721466064
43200.0,4.895329475402832
46800.0,8.684066772460938
50400.0,15.147539138793945
54000.0,24.892709732055664
57600.0,38.595970153808594
61200.0,58.058631896972656
64800.0,96.91850280761719
68400.0,170.92747497558594
72000.0,230.9322052001953
75600.0,256.8553161621094
79200.0,253.097900390625
82800.0,230.45712280273438
86400.0,198.8831024169922
