Time(s),Flow(m3/s)
0.0,0.0
3600.0,0.3716195821762085
7200.0,1.4213329553604126
10800.0,3.1169321537017822
14400.0,5.42773962020874
18000.0,8.32453441619873
21600.0,11.779481887817383
25200.0,16.33588409423828
28800.0,24.160682678222656
32400.0,35.3453483581543
36000.0,54.99806594848633
39600.0,88.08158111572266
43200.0,135.5608673095703
46800.0,175.72320556640625
50400.0,190.33714294433594
54000.0,183.00888061523438
57600.0,166.21591186523438
61200.0,150.670654296875
64800.0,136.19032287597656
68400.0,122.61784362792969
72000.0,109.81525421142578
75600.0,98.16769409179688
79200.0,87.59622192382812
82800.0,78.78871154785156
86400.0,70.99275207519531
