Time(s),Flow(m3/s)
0.0,0.4858072102069855
3600.0,0.4858072102069855
7200.0,0.4858072102069855
10800.0,0.4858072102069855
14400.0,0.4858072102069855
18000.0,0.4858072102069855
21600.0,0.4858072102069855
25200.0,1.259884238243103
28800.0,3.4376914501190186
32400.0,16.487550735473633
36000.0,53.304222106933594
39600.0,86.96695709228516
43200.0,104.89822387695312
46800.0,107.98705291748047
50400.0,101.05165100097656
54000.0,88.8840103149414
57600.0,75.01944732666016
61200.0,61.646141052246094
64800.0,49.89638137817383
68400.0,40.1947021484375
72000.0,32.54645919799805
75600.0,26.742063522338867
79200.0,22.486852645874023
82800.0,19.47588348388672
86400.0,17.431909561157227
