Time(s),Flow(m3/s)
0.0,0.22076162695884705
3600.0,0.8250670433044434
7200.0,1.794699788093567
10800.0,3.112306833267212
14400.0,5.497238636016846
18000.0,9.90685749053955
21600.0,17.645751953125
25200.0,35.345375061035156
28800.0,55.295799255371094
32400.0,67.27995300292969
36000.0,71.2540054321289
39600.0,68.2484359741211
43200.0,62.31875991821289
46800.0,57.0125732421875
50400.0,52.28937911987305
54000.0,48.22051239013672
57600.0,44.51734924316406
61200.0,41.1356201171875
64800.0,38.04751968383789
68400.0,35.314483642578125
72000.0,33.01041030883789
75600.0,30.861215591430664
79200.0,28.850252151489258
82800.0,26.962648391723633
86400.0,25.185129165649414
