Time(s),Flow(m3/s)
0.0,0.2566942572593689
3600.0,0.2566942572593689
7200.0,0.6989908218383789
10800.0,1.2532178163528442
14400.0,2.2867374420166016
18000.0,4.376379013061523
21600.0,7.921525478363037
25200.0,13.348572731018066
28800.0,21.579774856567383
32400.0,39.295265197753906
36000.0,74.43995666503906
39600.0,103.51881408691406
43200.0,116.71685028076172
46800.0,115.91184997558594
50400.0,106.09907531738281
54000.0,91.9356689453125
57600.0,76.74129486083984
61200.0,62.501888275146484
64800.0,50.190494537353516
68400.0,40.11738204956055
72000.0,32.21089172363281
75600.0,26.211999893188477
79200.0,21.795686721801758
82800.0,18.639190673828125
86400.0,16.455350875854492
