Time(s),Flow(m3/s)
0.0,0.036155130714178085
3600.0,0.036155130714178085
7200.0,0.09845215827226639
10800.0,0.17651447653770447
14400.0,0.3220846951007843
18000.0,0.61640864610672
21600.0,1.1157389879226685
25200.0,1.8801331520080566
28800.0,3.03948974609375
32400.0,5.534698486328125
36000.0,10.484793663024902
39600.0,14.580521583557129
43200.0,16.439451217651367
46800.0,16.326066970825195
50400.0,14.943948745727539
54000.0,12.949047088623047
57600.0,10.808934211730957
61200.0,8.803328514099121
64800.0,7.069280624389648
68400.0,5.650493144989014
72000.0,4.536871910095215
75600.0,3.691934108734131
79200.0,3.0699007511138916
82800.0,2.6253113746643066
86400.0,2.3177196979522705
