Time(s),Flow(m3/s)
0.0,0.4858072102069855
3600.0,0.4858072102069855
7200.0,1.3228763341903687
10800.0,2.371779680252075
14400.0,4.3277692794799805
18000.0,8.282524108886719
21600.0,14.991898536682129
25200.0,25.262866973876953
28800.0,40.840843200683594
32400.0,74.36832427978516
36000.0,140.8814697265625
39600.0,195.91473388671875
43200.0,220.89268493652344
46800.0,219.3691864013672
50400.0,200.79800415039062
54000.0,173.99302673339844
57600.0,145.23687744140625
61200.0,118.2880630493164
64800.0,94.98811340332031
68400.0,75.92422485351562
72000.0,60.960784912109375
75600.0,49.60757064819336
79200.0,41.24946975708008
82800.0,35.275634765625
86400.0,31.14260482788086
